node_id,degree,final_r,target_mu,training_mu_estimate,verified_mu,verified_mu_stderr,error_vs_target,error_vs_training_estimate
0,16,1.3593649,0.08888889,0.09179667,0.091388896,0.002551373021731273,0.002500005,0.00040777028
1,16,1.018108,0.08888889,0.08862949,0.09353415,0.0015504449565803791,0.004645258,0.0049046576
2,11,-0.7795312,0.08888889,0.08834349,0.09126015,0.0009021218552717396,0.002371259,0.0029166564
3,11,-1.0044568,0.08888889,0.08707148,0.08989094,0.001056346758891563,0.0010020509,0.0028194636
4,4,-1.8716305,0.08888889,0.089332655,0.08732356,0.0006344611755633134,0.0015653297,0.0020090938
5,12,-0.09810858,0.08888889,0.08404933,0.089510754,0.0011962489757815526,0.0006218627,0.0054614246
6,15,-0.18341896,0.08888889,0.094604164,0.08929265,0.001554467522196805,0.00040376186,0.0053115115
7,6,-1.6241636,0.08888889,0.08311069,0.08867709,0.001276023283116058,0.00021179765,0.0055664033
8,7,-1.510118,0.08888889,0.09104318,0.0886551,0.0009729346633303786,0.00023379177,0.0023880824
9,15,0.18492761,0.08888889,0.09404283,0.092573054,0.001075148207316444,0.003684163,0.001469776
10,7,-1.4944937,0.08888889,0.091175914,0.0883812,0.0014783892424527923,0.00050769,0.0027947128
11,6,-1.6465902,0.08888889,0.09560165,0.08922011,0.0006006899649991475,0.00033121556,0.0063815415
12,2,-2.1010423,0.08888889,0.07960089,0.08990894,0.0007832260099774604,0.0010200515,0.01030805
13,2,-2.099557,0.08888889,0.08765305,0.0899662,0.0006164513333584605,0.0010773093,0.002313152
14,9,-1.0802469,0.08888889,0.08431278,0.0876728,0.0012243855094898727,0.0012160912,0.0033600181
15,5,-1.687455,0.08888889,0.08983544,0.0883776,0.0009437499683284421,0.00051128864,0.0014578402
16,15,0.16265811,0.08888889,0.089733124,0.08699779,0.0008750275190283774,0.0018910989,0.0027353317
17,17,1.6214806,0.08888889,0.079883285,0.0900911,0.0024520500939567407,0.0012022108,0.010207817
18,10,-1.0923733,0.08888889,0.08929743,0.09263035,0.000777666028234875,0.003741458,0.0033329204
19,5,-1.7727882,0.08888889,0.08577354,0.088834204,0.0009035648072970484,5.468726e-05,0.0030606613
20,10,-1.0138701,0.08888889,0.08930425,0.0894932,0.0008809415018597313,0.00060430914,0.00018894672
21,13,-0.59382325,0.08888889,0.08237577,0.088367544,0.0011857689090231886,0.0005213469,0.005991772
22,8,-1.2411455,0.08888889,0.090844065,0.09047516,0.0006164655802824781,0.0015862659,0.00036890805
23,7,-1.50406,0.08888889,0.08962891,0.08849625,0.0008641543549711499,0.00039263815,0.0011326596
24,5,-1.7338411,0.08888889,0.09061173,0.0893731,0.001051963492082567,0.00048420578,0.0012386367
25,4,-1.8956907,0.08888889,0.094417736,0.08804999,0.0010180943201106212,0.0008388981,0.006367743
26,7,-1.4275395,0.08888889,0.081945956,0.09036599,0.0011427654339993074,0.0014771,0.008420035
27,15,0.1842161,0.08888889,0.08667171,0.088624954,0.001894684067737478,0.00026393682,0.0019532442
28,9,-1.1788639,0.08888889,0.08920263,0.08737515,0.0007733976203481915,0.0015137419,0.0018274784
29,7,-1.4684321,0.08888889,0.082736306,0.0889283,0.0010410156697258364,3.940612e-05,0.0061919913
30,16,0.82766306,0.08888889,0.09402203,0.092949554,0.0012902822820460198,0.0040606633,0.0010724738
31,6,-1.5827538,0.08888889,0.083544135,0.08903765,0.0008546486011095564,0.00014875829,0.0054935142
32,9,-1.1653695,0.08888889,0.089946985,0.08762245,0.0009015270185836863,0.0012664422,0.0023245364
33,1,-2.2304838,0.08888889,0.085331544,0.089213654,0.0009027968723228688,0.00032476336,0.0038821101
34,18,1.5201014,0.08888889,0.086562835,0.08469365,0.0030390928678560264,0.004195243,0.0018691868
35,14,0.29952952,0.08888889,0.08243803,0.08819105,0.0018325035703382567,0.00069784373,0.005753018
36,9,-1.2359282,0.08888889,0.08468832,0.090768754,0.0008784886012207293,0.0018798634,0.0060804337
37,6,-1.6211811,0.08888889,0.0893601,0.08905465,0.0009960615809655278,0.00016576052,0.00030545145
38,16,1.2259637,0.08888889,0.09047927,0.087255195,0.0013532236461780475,0.0016336963,0.0032240748
39,8,-1.3256353,0.08888889,0.0973616,0.0886072,0.0010550621060220057,0.00028169155,0.008754402
40,18,2.1964388,0.08888889,0.09843377,0.083755,0.002660764659341759,0.0051338896,0.014678769
41,11,-0.77602816,0.08888889,0.08674205,0.09055801,0.0009594100988555886,0.0016691163,0.0038159564
42,8,-1.3156892,0.08888889,0.0880931,0.0899302,0.001511407648496968,0.001041308,0.0018370971
43,10,-0.8740006,0.08888889,0.09725665,0.089650854,0.0009747992801301003,0.0007619634,0.0076057985
44,18,0.45517343,0.08888889,0.08518718,0.088746555,0.0012694420141225768,0.00014233589,0.0035593733
45,10,-1.0032917,0.08888889,0.08710377,0.0885431,0.0010693093245496789,0.0003457889,0.001439333
46,10,-0.88288265,0.08888889,0.086171255,0.0868013,0.0008383992295854436,0.002087593,0.00063004345
47,12,-0.5820601,0.08888889,0.092718855,0.08994905,0.0005940838099058318,0.001060158,0.0027698055
48,16,1.5720336,0.08888889,0.08184151,0.083310544,0.0015497692032541068,0.0055783466,0.001469031
49,14,-0.015462918,0.08888889,0.08277026,0.089319006,0.001333508848438239,0.00043011457,0.0065487474
50,8,-1.3603176,0.08888889,0.09328107,0.0866279,0.0007555612077532792,0.0022609904,0.0066531673
51,2,-2.1226563,0.08888889,0.08072641,0.088723645,0.001025609333240492,0.00016524643,0.007997237
52,7,-1.5130244,0.08888889,0.0907463,0.09048479,0.0009866142873502907,0.0015958995,0.00026150793
53,4,-1.8607951,0.08888889,0.091785274,0.088232696,0.001172619992126372,0.000656195,0.0035525784
54,5,-1.7539778,0.08888889,0.086591594,0.0895292,0.0008826852959084818,0.00064031035,0.0029376075
55,7,-1.47995,0.08888889,0.092270955,0.0887625,0.0009830719203821484,0.00012639165,0.003508456
56,12,-0.7359662,0.08888889,0.08463204,0.08676626,0.0010293767795198584,0.0021226332,0.0021342188
57,13,-0.65069956,0.08888889,0.09167523,0.08827975,0.0008356399648594272,0.00060914457,0.003395483
58,8,-1.2776579,0.08888889,0.0815335,0.090449296,0.0008975748408709338,0.0015604049,0.008915797
59,5,-1.6913683,0.08888889,0.09085583,0.087943956,0.0007032527610993086,0.0009449348,0.0029118732
60,12,-0.308271,0.08888889,0.08565596,0.08695075,0.0013664817526785754,0.0019381419,0.0012947917
61,7,-1.4405739,0.08888889,0.0893807,0.089806795,0.0011144250257038824,0.0009179041,0.0004260987
62,1,-2.2261105,0.08888889,0.09458751,0.089174256,0.0007369913914883954,0.0002853647,0.0054132566
63,10,-0.9917983,0.08888889,0.09765475,0.09115599,0.0009964739686731386,0.0022671,0.0064987615
64,4,-1.8816025,0.08888889,0.0846595,0.0906641,0.000736243409570592,0.0017752126,0.0060046017
65,6,-1.6226944,0.08888889,0.09320591,0.088597655,0.0008622982053355731,0.00029123574,0.004608251
66,7,-1.3856394,0.08888889,0.08739976,0.0887189,0.0006068085218789921,0.00016999245,0.0013191402
67,5,-1.7594606,0.08888889,0.09368267,0.089041345,0.0007983343759124208,0.00015245378,0.0046413243
68,8,-1.3375903,0.08888889,0.084971055,0.0890409,0.0013370360481384349,0.00015200675,0.0040698424
69,12,-0.72738284,0.08888889,0.087747954,0.08871134,0.0014288794512449902,0.00017754734,0.0009633899
70,5,-1.7666996,0.08888889,0.09295868,0.088205,0.0011902772689789854,0.0006838888,0.004753679
71,7,-1.5104532,0.08888889,0.089124225,0.0890529,0.000928069516607348,0.00016400963,7.132441e-05
